"bin","max","min","mid","hemisphere","mean_richness","CI.Lower","CI.Upper"
1,90,75,82.5,"N",3.6086,0,8.50499999999999
2,75,60,67.5,"N",1.8,0,4.52499999999999
3,60,45,52.5,"N",14.3063,8.4555,19.5715
4,45,30,37.5,"N",29.5162,26.21475,33.23725
5,30,15,22.5,"N",16.4551,10.8875,22.2415
6,15,0,7.5,"N",5.8546,2,9.93575
7,0,-15,-7.5,"S",3.259,0,6.52499999999999
8,-15,-30,-22.5,"S",5.9642,1.475,13.08425
9,-30,-45,-37.5,"S",1.7698,0,5
10,-45,-60,-52.5,"S",NA,NA,NA
11,-60,-75,-67.5,"S",1.29,0,3.52499999999999
12,-75,-90,-82.5,"S",1.8,0,5
